0	0	0	0
0.25	1.86392	316	0
0.5	2.5411	146	0
0.75	1.07246	69	0
1	1.27586	58	0
1.25	1.05051	99	0
1.5	1.89231	65	0
1.75	0.795812	191	0
2	1.03846	52	0
2.25	0.369565	46	0
2.5	0.862069	29	0
2.75	1.54737	95	0
3	2.82883	111	0
3.25	1.46667	60	0
3.5	1.57778	90	0
3.75	1.58333	48	0
4	1.17708	96	0
4.25	0.592593	216	0
4.5	1.35714	84	0
4.75	1.24658	73	0
5	1.63492	126	0
5.25	1.56122	98	0
5.5	1.61062	113	0
5.75	1.35433	127	0
6	1.00474	211	0
6.25	0.933798	287	0
6.5	0.986046	215	0
6.75	0.607477	214	0
7	0.8	230	0
7.25	0.784722	144	0
7.5	0.598592	142	0
7.75	0.957576	165	0
8	1.31773	299	0
8.25	0.875	168	0
8.5	1.04386	456	0
8.75	0.874408	422	0
9	1.01504	399	0
9.25	1.36592	358	0
9.5	1.58357	353	0
9.75	1.1355	369	0
10	0.975	200	0
10.25	1.07634	262	0
10.5	0.814433	194	0
10.75	0.875817	306	0
11	1.03819	288	0
11.25	1.02317	259	0
11.5	0.985507	276	0
11.75	0.948276	232	0
12	1.20913	263	0
12.25	1.24074	216	0
12.5	1.26613	248	0
12.75	1.39255	349	0
13	1.56164	365	0
13.25	1.07692	377	0
13.5	0.96088	409	0
13.75	1.03937	381	0
14	0.85625	480	0
14.25	0.857639	576	0
14.5	0.951638	641	0
14.75	1.29772	571	0
15	1.25527	427	0
15.25	1.27143	560	0
15.5	1.17284	648	0
15.75	1.16475	783	0
16	1.11984	751	0
16.25	1.19419	757	0
16.5	1.11079	695	0
16.75	1.09226	672	0
17	1.15432	648	0
17.25	1.16029	549	0
17.5	1.2697	571	0
17.75	1.30075	532	0
18	1.35972	581	0
18.25	1.32453	644	0
18.5	1.19163	621	0
18.75	1.13208	689	0
19	1.10012	829	0
19.25	1.04706	935	0
19.5	1.10692	982	0
19.75	1.19227	1113	0
20	1.04948	1354	0
20.25	1.16558	1383	0
20.5	1.26286	1575	0
20.75	1.21005	1871	0
21	1.15284	2074	0
21.25	1.09213	2388	0
21.5	1.08901	2876	0
21.75	1.10956	3368	0
22	1.16368	3849	0
22.25	1.1624	4766	0
22.5	1.22062	5702	0
22.75	1.17194	6828	0
23	1.20213	8084	0
23.25	1.2203	9814	0
23.5	1.19545	11384	0
23.75	1.16464	13162	0
24	1.13023	15119	0
24.25	1.14923	17161	0
24.5	1.15956	19410	0
24.75	1.16068	22430	0
25	1.15561	8650	0
25.25	1.166	26518	0
25.5	1.20627	30789	0
25.75	1.2146	35168	0
26	1.20615	39932	0
26.25	1.19079	44792	0
26.5	1.19478	49693	0
26.75	1.19202	56248	0
27	1.17798	62171	0
27.25	1.17963	68903	0
27.5	1.18616	77083	0
27.75	1.20438	84496	0
28	1.19301	93475	0
28.25	1.19201	101626	0
28.5	1.1867	109388	0
28.75	1.19518	116290	0
29	1.18966	124673	0
29.25	1.19753	133242	0
29.5	1.1969	142786	0
29.75	1.19638	151205	0
30	1.19604	106049	0
30.25	1.20886	167734	0
30.5	1.21145	177584	0
30.75	1.21055	187761	0
31	1.20797	197022	0
31.25	1.21065	207764	0
31.5	1.20389	216033	0
31.75	1.20897	225204	0
32	1.20444	235619	0
32.25	1.19816	245805	0
32.5	1.19746	255567	0
32.75	1.19411	265781	0
33	1.20464	275327	0
33.25	1.19975	283413	0
33.5	1.2025	292650	0
33.75	1.19772	299087	0
34	1.19397	307930	0
34.25	1.19226	315665	0
34.5	1.19708	325132	0
34.75	1.20846	334147	0
35	1.2164	339712	0
35.25	1.20862	345851	0
35.5	1.20747	353686	0
35.75	1.21339	360930	0
36	1.21053	365479	0
36.25	1.20566	372793	0
36.5	1.20249	379643	0
36.75	1.20568	384780	0
37	1.20357	392418	0
37.25	1.20152	398753	0
37.5	1.20283	398710	0
37.75	1.1983	409303	0
38	1.19282	415426	0
38.25	1.18914	417464	0
38.5	1.19273	420752	0
38.75	1.1903	422627	0
39	1.19648	425494	0
39.25	1.19456	429243	0
39.5	1.19086	431315	0
39.75	1.19282	432259	0
40	1.19587	433509	0
40.25	1.19843	434309	0
40.5	1.2014	432317	0
40.75	1.19767	431441	0
41	1.1988	427798	0
41.25	1.19746	426202	0
41.5	1.20018	424193	0
41.75	1.19754	146737	0
42	1.20586	426291	0
42.25	1.20298	428128	0
42.5	1.20699	429644	0
42.75	1.20696	432673	0
43	1.20659	434474	0
43.25	1.20518	434935	0
43.5	1.19843	436329	0
43.75	1.19237	437040	0
44	1.18872	436039	0
44.25	1.18466	437796	0
44.5	1.1855	438090	0
44.75	1.1889	437384	0
45	1.18866	438719	0
45.25	1.18883	439433	0
45.5	1.18503	438358	0
45.75	1.18735	437601	0
46	1.1858	436101	0
46.25	1.18506	437020	0
46.5	1.18651	435056	0
46.75	1.18727	432392	0
47	1.18816	429219	0
47.25	1.18115	422035	0
47.5	1.18534	419038	0
47.75	1.18757	412227	0
48	1.19041	405893	0
48.25	1.1849	397708	0
48.5	1.18321	389726	0
48.75	1.1746	382640	0
49	1.17294	376579	0
49.25	1.17136	366815	0
49.5	1.17054	360002	0
49.75	1.17099	353310	0
50	1.17561	233657	0
50.25	1.17415	338934	0
50.5	1.17095	329533	0
50.75	1.17195	321180	0
51	1.17267	314261	0
51.25	1.17031	304999	0
51.5	1.16952	296046	0
51.75	1.17293	287008	0
52	1.17525	277400	0
52.25	1.18019	268871	0
52.5	1.17435	258883	0
52.75	1.16972	248069	0
53	1.16284	239655	0
53.25	1.15497	229870	0
53.5	1.15343	221836	0
53.75	1.15155	212119	0
54	1.15461	203601	0
54.25	1.15149	195958	0
54.5	1.15904	188348	0
54.75	1.16159	181839	0
55	1.16506	175484	0
